ラテン文字	アイヌ語仮名
=	
'	
-	・
aa	aー
ii	iー
uu	uー
ee	eー
oo	oー
ara	aラ
ari	aリ
aru	aル
are	aレ
aro	aロ
ira	iラ
iri	iリ
iru	iル
ire	iレ
iro	iロ
ura	uラ
uri	uリ
uru	uル
ure	uレ
uro	uロ
era	eラ
eri	eリ
eru	eル
ere	eレ
ero	eロ
ora	oラ
ori	oリ
oru	oル
ore	oレ
oro	oロ
ar	aㇻ
ir	iㇼ
ur	uㇽ
er	eㇾ
or	oㇿ
aha	aハ
ahi	aヒ
ahu	aフ
ahe	aヘ
aho	aホ
iha	iハ
ihi	iヒ
ihu	iフ
ihe	iヘ
iho	iホ
uha	uハ
uhi	uヒ
uhu	uフ
uhe	uヘ
uho	uホ
eha	eハ
ehi	eヒ
ehu	eフ
ehe	eヘ
eho	eホ
oha	oハ
ohi	oヒ
ohu	oフ
ohe	oヘ
oho	oホ
ah	aㇵ
ih	iㇶ
up	uㇷ゚
uh	uㇷ
eh	eㇸ
oh	oㇹ
ra	ラ
ri	リ
ru	ル
re	レ
ro	ロ
ha	ハ
hi	ヒ
hu	フ
he	ヘ
ho	ホ
ka	カ
ki	キ
ku	ク
ke	ケ
ko	コ
k	ㇰ
sa	サ
si	シ
su	ス
se	セ
so	ソ
s	ㇱ
s	ㇲ
ca	チャ
cu	チュ
ce	チェ
co	チョ
ce	セ゚
ta	タ
ci	チ
ti	チ
tu	トゥ
tu	ツ
tsu	ツ
te	テ
to	ト
t	ッ
t	ㇳ
tu	ツ゚
tu	ト゚
na	ナ
ni	ニ
nu	ヌ
ne	ネ
no	ノ
n	ン
n	ㇴ
pa	パ
pi	ピ
pu	プ
pe	ペ
po	ポ
h	ㇵ
h	ㇶ
p	ㇷ゚
h	ㇷ
h	ㇸ
h	ㇹ
ma	マ
mi	ミ
mu	ム
me	メ
mo	モ
m	ㇺ
ya	ヤ
yu	ユ
ye	イェ
yo	ヨ
r	ㇻ
r	ㇼ
r	ㇽ
r	ㇾ
r	ㇿ
wa	ワ
wi	ウィ
wi	ヰ
we	ウェ
we	ヱ
wo	ウォ
wo	ヲ
a	ア
i	イ
u	ウ
e	エ
o	オ
y	イ
y	ィ
w	ウ
w	ゥ
